hits: 40, mismatches: 2, gaps: 2
hits: 40, mismatches: 2, gaps: 3
hits: 40, mismatches: 2, gaps: 4
hits: 40, mismatches: 2, gaps: 5
hits: 40, mismatches: 2, gaps: 6
hits: 40, mismatches: 3, gaps: 1
hits: 40, mismatches: 3, gaps: 2
hits: 40, mismatches: 3, gaps: 3
hits: 40, mismatches: 3, gaps: 4
hits: 40, mismatches: 3, gaps: 5
hits: 40, mismatches: 3, gaps: 6
hits: 40, mismatches: 4, gaps: 1
hits: 40, mismatches: 4, gaps: 2
hits: 40, mismatches: 4, gaps: 3
hits: 40, mismatches: 4, gaps: 4
hits: 40, mismatches: 4, gaps: 5
hits: 40, mismatches: 4, gaps: 6
hits: 40, mismatches: 5, gaps: 1
hits: 40, mismatches: 5, gaps: 2
hits: 40, mismatches: 5, gaps: 3
hits: 40, mismatches: 5, gaps: 4
hits: 40, mismatches: 5, gaps: 5
hits: 40, mismatches: 5, gaps: 6
hits: 40, mismatches: 6, gaps: 1
hits: 40, mismatches: 6, gaps: 2
hits: 40, mismatches: 6, gaps: 3
hits: 40, mismatches: 6, gaps: 4
hits: 40, mismatches: 6, gaps: 5
hits: 40, mismatches: 6, gaps: 6
hits: 50, mismatches: 1, gaps: 1
hits: 50, mismatches: 1, gaps: 2
hits: 50, mismatches: 1, gaps: 3
hits: 50, mismatches: 1, gaps: 4
hits: 50, mismatches: 1, gaps: 5
hits: 50, mismatches: 1, gaps: 6
hits: 50, mismatches: 2, gaps: 1
hits: 50, mismatches: 2, gaps: 2
hits: 50, mismatches: 2, gaps: 3
hits: 50, mismatches: 2, gaps: 4
hits: 50, mismatches: 2, gaps: 5
hits: 50, mismatches: 2, gaps: 6
hits: 50, mismatches: 3, gaps: 1
hits: 50, mismatches: 3, gaps: 2
hits: 50, mismatches: 3, gaps: 3
hits: 50, mismatches: 3, gaps: 4
hits: 50, mismatches: 3, gaps: 5
hits: 50, mismatches: 3, gaps: 6
hits: 50, mismatches: 4, gaps: 1
hits: 50, mismatches: 4, gaps: 2
hits: 50, mismatches: 4, gaps: 3
hits: 50, mismatches: 4, gaps: 4
hits: 50, mismatches: 4, gaps: 5
hits: 50, mismatches: 4, gaps: 6
hits: 50, mismatches: 5, gaps: 1
hits: 50, mismatches: 5, gaps: 2
hits: 50, mismatches: 5, gaps: 3
hits: 50, mismatches: 5, gaps: 4
hits: 50, mismatches: 5, gaps: 5
hits: 50, mismatches: 5, gaps: 6
hits: 50, mismatches: 6, gaps: 1
hits: 50, mismatches: 6, gaps: 2
hits: 50, mismatches: 6, gaps: 3
hits: 50, mismatches: 6, gaps: 4
hits: 50, mismatches: 6, gaps: 5
hits: 50, mismatches: 6, gaps: 6
